date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
2014-07-26 16:00:00,62.0,16,35.0,1007.0,SE,13.85,0,0
2014-07-26 17:00:00,76.0,16,35.0,1007.0,SE,19.66,0,0
2014-07-26 18:00:00,72.0,16,34.0,1007.0,SE,24.58,0,0
2014-07-26 19:00:00,63.0,16,32.0,1007.0,SE,29.5,0,0
2014-07-26 20:00:00,57.0,16,31.0,1008.0,SE,33.52,0,0
2014-07-26 21:00:00,62.0,17,30.0,1009.0,SE,36.65,0,0
2014-07-26 22:00:00,59.0,16,29.0,1009.0,SE,40.67,0,0
2014-07-26 23:00:00,57.0,15,29.0,1009.0,SE,43.8,0,0
2014-07-27 00:00:00,60.0,16,27.0,1010.0,SE,45.59,0,0
2014-07-27 01:00:00,68.0,16,27.0,1010.0,SE,48.72,0,0
2014-07-27 02:00:00,76.0,16,26.0,1010.0,SE,51.85,0,0
2014-07-27 03:00:00,86.0,16,26.0,1010.0,SE,54.98,0,0
2014-07-27 04:00:00,97.0,17,24.0,1010.0,SE,56.77,0,0
2014-07-27 05:00:00,102.0,17,24.0,1010.0,SE,58.56,0,0
2014-07-27 06:00:00,111.0,18,24.0,1010.0,cv,0.89,0,0
2014-07-27 07:00:00,107.0,18,25.0,1010.0,cv,1.78,0,0
2014-07-27 08:00:00,106.0,18,26.0,1011.0,SE,1.79,0,0
2014-07-27 09:00:00,113.0,18,28.0,1010.0,cv,0.89,0,0
2014-07-27 10:00:00,105.0,18,30.0,1010.0,cv,1.78,0,0
2014-07-27 11:00:00,114.0,19,32.0,1010.0,cv,3.57,0,0
2014-07-27 12:00:00,133.0,18,34.0,1009.0,SE,3.13,0,0
2014-07-27 13:00:00,120.0,17,34.0,1008.0,SE,8.05,0,0
2014-07-27 14:00:00,99.0,16,36.0,1007.0,SE,12.97,0,0
2014-07-27 15:00:00,87.0,17,36.0,1006.0,SE,17.89,0,0
2014-07-27 16:00:00,93.0,18,35.0,1005.0,SE,22.81,0,0
2014-07-27 17:00:00,85.0,17,34.0,1005.0,SE,28.62,0,0
2014-07-27 18:00:00,95.0,18,33.0,1004.0,SE,34.43,0,0
2014-07-27 19:00:00,98.0,18,32.0,1004.0,SE,38.45,0,0
2014-07-27 20:00:00,99.0,19,30.0,1005.0,SE,41.58,0,0
2014-07-27 21:00:00,88.0,19,29.0,1005.0,SE,43.37,0,0
2014-07-27 22:00:00,83.0,19,27.0,1006.0,SE,45.16,0,0
2014-07-27 23:00:00,84.0,19,28.0,1005.0,SE,46.95,0,0
2014-07-28 00:00:00,93.0,20,27.0,1005.0,SE,50.08,0,0
2014-07-28 01:00:00,95.0,20,27.0,1005.0,SE,53.21,0,0
2014-07-28 02:00:00,113.0,21,26.0,1005.0,SE,56.34,0,0
2014-07-28 03:00:00,121.0,21,25.0,1005.0,SE,58.13,0,0
2014-07-28 04:00:00,127.0,21,25.0,1005.0,SE,61.26,0,0
2014-07-28 05:00:00,134.0,21,24.0,1005.0,SE,63.05,0,0
2014-07-28 06:00:00,138.0,21,24.0,1005.0,SE,64.84,0,0
2014-07-28 07:00:00,141.0,21,25.0,1006.0,SE,66.63,0,0
2014-07-28 08:00:00,143.0,21,27.0,1006.0,SE,68.42,0,0
2014-07-28 09:00:00,125.0,22,29.0,1006.0,cv,1.79,0,0
2014-07-28 10:00:00,111.0,21,30.0,1005.0,cv,2.68,0,0
2014-07-28 11:00:00,118.0,20,33.0,1005.0,cv,5.81,0,0
2014-07-28 12:00:00,110.0,19,34.0,1004.0,SE,4.02,0,0
2014-07-28 13:00:00,101.0,18,35.0,1004.0,SE,9.83,0,0
2014-07-28 14:00:00,73.0,17,36.0,1003.0,SE,16.98,0,0
2014-07-28 15:00:00,61.0,17,36.0,1002.0,SE,24.13,0,0
2014-07-28 16:00:00,67.0,17,35.0,1002.0,SE,31.28,0,0
2014-07-28 17:00:00,80.0,17,34.0,1001.0,SE,37.09,0,0
2014-07-28 18:00:00,81.0,17,34.0,1001.0,SE,42.9,0,0
2014-07-28 19:00:00,77.0,20,33.0,1002.0,SE,47.82,0,0
2014-07-28 20:00:00,89.0,19,32.0,1002.0,SE,52.74,0,0
2014-07-28 21:00:00,88.0,20,31.0,1003.0,SE,55.87,0,0
2014-07-28 22:00:00,83.0,20,28.0,1003.0,SE,57.66,0,0
2014-07-28 23:00:00,89.0,20,28.0,1003.0,SE,59.45,0,0
2014-07-29 00:00:00,96.0,21,28.0,1003.0,SE,62.58,0,0
2014-07-29 01:00:00,90.0,21,28.0,1003.0,SE,64.37,0,0
2014-07-29 02:00:00,99.0,21,28.0,1003.0,SE,68.39,0,0
2014-07-29 03:00:00,101.0,21,27.0,1003.0,SE,71.52,0,0
2014-07-29 04:00:00,114.0,21,26.0,1004.0,SE,73.31,0,0
2014-07-29 05:00:00,135.0,21,25.0,1004.0,SE,76.44,0,0
2014-07-29 06:00:00,155.0,21,25.0,1004.0,SE,79.57,0,0
2014-07-29 07:00:00,189.0,21,26.0,1004.0,SE,82.7,0,0
2014-07-29 08:00:00,179.0,21,28.0,1005.0,SE,86.72,0,0
2014-07-29 09:00:00,151.0,22,30.0,1004.0,SE,89.85,0,0
2014-07-29 10:00:00,125.0,22,32.0,1004.0,SE,93.87,0,0
2014-07-29 11:00:00,101.0,21,32.0,1004.0,SE,99.68,0,0
2014-07-29 12:00:00,92.0,19,32.0,1004.0,SE,104.6,0,0
2014-07-29 13:00:00,97.0,19,34.0,1003.0,SE,110.41,0,0
2014-07-29 14:00:00,86.0,19,35.0,1002.0,SE,116.22,0,0
2014-07-29 15:00:00,84.0,18,34.0,1002.0,SE,123.37,0,0
2014-07-29 16:00:00,89.0,18,34.0,1001.0,SE,129.18,0,0
2014-07-29 17:00:00,89.0,20,33.0,1001.0,SE,133.2,0,0
2014-07-29 18:00:00,86.0,20,32.0,1001.0,SE,137.22,0,0
2014-07-29 19:00:00,92.0,20,31.0,1001.0,SE,141.24,0,0
2014-07-29 20:00:00,86.0,21,30.0,1001.0,SE,146.16,0,0
2014-07-29 21:00:00,85.0,20,30.0,1002.0,SE,151.08,0,0
2014-07-29 22:00:00,83.0,22,28.0,1003.0,SE,160.02,0,1
2014-07-29 23:00:00,82.0,23,24.0,1004.0,SE,161.81,0,3
2014-07-30 00:00:00,78.0,22,23.0,1003.0,SE,164.94,0,5
2014-07-30 01:00:00,69.0,22,24.0,1004.0,SE,166.73,0,6
2014-07-30 02:00:00,52.0,21,23.0,1003.0,cv,0.89,0,7
2014-07-30 03:00:00,53.0,22,23.0,1003.0,SE,4.02,0,8
2014-07-30 04:00:00,88.0,22,23.0,1004.0,cv,0.89,0,0
2014-07-30 05:00:00,117.0,22,23.0,1004.0,NW,1.79,0,0
2014-07-30 06:00:00,113.0,22,23.0,1004.0,NW,4.92,0,1
2014-07-30 07:00:00,142.0,22,23.0,1005.0,NE,3.13,0,2
2014-07-30 08:00:00,134.0,22,23.0,1006.0,cv,0.89,0,0
2014-07-30 09:00:00,159.0,22,24.0,1006.0,NE,1.79,0,0
2014-07-30 10:00:00,151.0,21,25.0,1006.0,SE,1.79,0,0
2014-07-30 11:00:00,149.0,21,26.0,1006.0,SE,4.92,0,0
2014-07-30 12:00:00,148.0,21,26.0,1007.0,SE,6.71,0,0
2014-07-30 13:00:00,132.0,21,27.0,1006.0,SE,8.5,0,0
2014-07-30 14:00:00,130.0,22,28.0,1006.0,SE,10.29,0,0
2014-07-30 15:00:00,122.0,22,28.0,1006.0,SE,13.42,0,0
2014-07-30 16:00:00,112.0,22,28.0,1005.0,SE,16.55,0,0
2014-07-30 17:00:00,130.0,21,28.0,1005.0,SE,18.34,0,0
2014-07-30 18:00:00,144.0,22,27.0,1005.0,SE,20.13,0,0
2014-07-30 19:00:00,157.0,22,27.0,1005.0,SE,21.92,0,0
2014-07-30 20:00:00,185.0,22,26.0,1006.0,SE,22.81,0,0
2014-07-30 21:00:00,199.0,22,25.0,1007.0,SE,24.6,0,0
2014-07-30 22:00:00,212.0,22,25.0,1007.0,SE,26.39,0,0
2014-07-30 23:00:00,211.0,22,24.0,1007.0,cv,0.89,0,0
2014-07-31 00:00:00,201.0,22,25.0,1008.0,cv,1.78,0,0
2014-07-31 01:00:00,193.0,22,25.0,1008.0,cv,2.67,0,0
2014-07-31 02:00:00,198.0,23,25.0,1008.0,SE,3.13,0,0
2014-07-31 03:00:00,187.0,23,25.0,1008.0,SE,4.92,0,0
2014-07-31 04:00:00,184.0,22,24.0,1007.0,SE,6.71,0,0
2014-07-31 05:00:00,192.0,23,24.0,1008.0,cv,0.89,0,0
2014-07-31 06:00:00,208.0,23,24.0,1008.0,SE,1.79,0,0
2014-07-31 07:00:00,219.0,23,24.0,1008.0,SE,3.58,0,0
2014-07-31 08:00:00,250.0,23,25.0,1008.0,SE,5.37,0,0
2014-07-31 09:00:00,227.0,23,26.0,1008.0,SE,7.16,0,0
